year,ALFA ROMEO,ASTON MARTIN,AUDI,AUSTIN,B.M.W.,BENTLEY,CADILLAC,CHANA,CHERVOLET,CHERY,CHEVROLET,CHRYSLER,CITROEN,DAEWOO,DAIHATSU,DAIMLER,DATSUN,DODGE,DONGFENG,FERRARI,FIAT,FORD,FOTON,GEELY,GOLDEN DRAGON,HAFEI,HOLDEN,HONDA,HUMMER,HYUNDAI,INFINITI,ISUZU,JAGUAR,JEEP,KIA,LAMBORGHINI,LANCIA,LAND ROVER,LOTUS,M.G.,MASERATI,MAYBACH,MAZDA,Mclaren,MERCEDES BENZ,MG-F,MINI,MINI COOPER,MINI MAYFAIR,MITSUBISHI,MITSUOKA,MORGAN,MORRIS,NAZA,NISSAN,OPEL,OTHERS 2,PANTHER,PERODUA,PEUGEOT,PORSCHE,PROTON,RENAULT,ROLLS ROYCE,ROVER,SAAB,SEAT,SKODA,SMART,SSANGYONG,SUBARU,SUNBEAM,SUZUKI,TD CARS,TOYOTA,TRIUMPH,VOLKSWAGEN,VOLVO,WULING,ZOTYE
2002,929,15,2030,162,16531,30,35,0,0,0,0,191,1194,2923,4013,74,296,0,0,158,1425,9525,0,0,0,0,25,49242,0,22393,0,0,1787,0,5039,15,82,201,74,117,30,0,14065,0,37529,25,0,59,0,32448,0,0,105,0,66042,4121,91,0,543,1386,559,11109,3922,115,3789,1504,920,443,0,36,5062,0,12652,0,80068,38,3610,5497,0,0
2003,975,16,1840,156,15127,29,25,0,190,0,0,229,1045,2058,3251,52,242,0,0,141,791,8995,0,0,0,0,10,47584,0,26848,0,8,1813,6,6651,16,23,177,65,114,40,0,15669,0,33586,15,221,0,5,31721,0,6,100,0,67433,3373,45,7,606,1620,603,7200,3517,106,1792,1504,648,517,7,63,5227,9,10252,0,92015,38,3479,5427,0,0
2004,945,16,1892,151,14966,50,11,0,0,0,1668,308,851,1287,2631,40,195,0,0,148,360,8183,0,0,0,0,9,46848,0,34835,0,21,1958,29,8240,36,9,304,62,109,59,0,18130,0,30332,12,386,0,5,30337,0,5,96,0,65935,2834,53,7,758,1807,655,5393,3485,104,859,1612,422,516,7,78,5856,9,8227,0,106751,37,3092,5449,0,0
2005,914,23,2025,137,15351,68,7,0,0,0,3699,422,696,817,2065,30,129,0,0,166,382,7243,0,0,0,0,6,47816,0,41650,0,20,1952,41,12079,53,6,280,64,108,78,0,19998,0,27230,9,547,0,5,29416,0,6,93,0,65368,2319,50,7,1060,2033,763,4612,3430,104,416,1597,233,425,0,93,6351,8,7200,0,120560,34,2923,5366,0,0
2006,866,34,2386,155,16527,103,5,0,0,269,6251,576,514,487,1769,24,21,6,0,178,770,6036,0,19,0,0,5,53792,0,45393,0,19,1862,63,15558,80,6,257,70,130,105,0,21161,0,25150,9,744,0,5,31264,0,6,99,0,64904,2142,64,7,1446,2202,912,4630,3139,116,212,1588,113,372,0,133,7600,8,8201,5,135799,34,2900,5416,0,0
2007,900,54,3115,155,18321,138,5,0,0,906,8161,670,615,286,2044,22,17,39,33,221,1404,4878,0,523,0,168,7,67830,0,44798,0,18,1826,86,16591,110,6,249,75,127,143,0,22495,0,24999,9,984,0,5,34542,26,6,99,0,64507,2082,62,7,1905,2387,1242,4642,3019,116,122,1574,62,323,0,196,9949,8,11263,5,146597,33,3475,5759,0,0
2008,858,77,4223,154,20434,179,0,39,0,1466,8951,698,730,175,2538,22,16,46,64,264,1775,4045,0,697,5,297,7,85768,0,41708,0,17,1851,108,16927,156,0,259,94,125,227,0,22647,0,25896,9,1227,0,5,36805,31,7,100,27,61701,1965,73,7,2193,2476,1554,4486,2798,127,75,1499,44,273,0,308,12446,8,13641,5,154948,33,4474,5899,53,6
2009,886,100,5590,154,22871,219,0,66,0,1687,9973,696,948,115,2577,21,13,45,97,294,2032,3788,0,763,6,326,7,90861,17,43907,0,14,1888,117,19899,201,5,305,101,121,300,0,22334,0,27621,8,1384,0,5,36846,30,8,101,28,59590,1830,68,7,2408,2645,1822,4462,2661,138,54,1365,26,341,0,350,13463,8,14592,6,161074,33,6780,6165,61,47
2010,924,134,7645,152,26411,268,0,66,0,1759,10653,661,1275,77,2557,20,13,51,103,360,2246,3762,0,770,6,333,7,91494,23,44031,0,9,2062,132,22285,250,5,392,115,121,382,0,22527,0,30467,8,1656,0,5,36412,38,8,98,31,58442,1794,70,7,2535,2739,2250,4467,2574,172,39,1250,14,424,0,358,13929,8,14863,7,162125,33,10123,6607,60,52
2011,925,158,9641,148,30496,324,0,66,0,1758,11202,657,1582,47,2484,20,10,51,103,449,2354,3716,5,757,6,330,7,89969,23,44177,7,9,2355,146,22987,291,5,615,126,120,469,5,21990,0,33057,8,2010,0,5,35558,39,8,96,31,56380,1768,72,7,2529,3117,2784,4281,2702,205,34,1213,5,478,0,369,13882,6,14778,7,159749,31,13223,7148,59,51
2012,923,179,11227,147,34817,412,0,66,0,1724,11516,631,1914,31,2475,20,10,50,101,523,2339,3831,14,742,6,323,6,89193,23,43953,79,9,2629,168,23247,329,6,975,130,119,541,5,21715,33,36131,8,2272,0,5,34957,39,10,95,31,55651,1774,76,7,2513,3576,3243,4219,2692,245,26,1137,0,525,0,375,13771,6,14754,7,159889,31,16698,7959,58,50
